Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.43202347,37.65974426,39.08978271,40.53023148,41.76001358,42.98999786,44.34300995,45.88924408,46.98950577,48.34170532,49.23402706,51.83002853,53.10031128,54.49000168,55.75025558,57.32978439,58.83992386,60.24026871,61.50019836,62.70991516,63.52342303,64.72107697,65.21763611,65.5301448,65.8946981
China,CHN,Urban population,SP.URB.TOTL,460007123,478975457,500505578,522191502,541241096,560469200,581345729,604767464,622448838,643553786,658606042,697132024,719079105,742829499,764815456,791070763,816574579,841083668,862700183,882795695,896379022,914094603,920987153,924440306,928439823
China,CHN,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96,..,..,..,94,..,..
China,CHN,"Mammal species, threatened",EN.MAM.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73,..,..,..,78,..,..
China,CHN,"Fish species, threatened",EN.FSH.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,136,..,..,..,207,..,..
China,CHN,"Plant species (higher), threatened",EN.HPT.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,593,..,..,..,713,..,..
China,CHN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,7.57777977,9.280690193,11.80508041,14.51397038,16.90044022,18.65652084,20.56677055,21.47155952,21.86673927,23.28862953,25.28830663,26.78750399,29.30819069,32.71916032,43.7110051,47.11926193,49.30907738,51.06788123,53.39879846,56.60509179,61.6124676,66.81860776,71.57994651,74.59330146,76.87578431
China,CHN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,24.54409643,23.80636764,22.92830907,22.04292869,21.18643009,20.29446824,19.59217938,19.1700514,18.86673497,18.64565124,18.47404982,18.34201273,18.29736019,18.30540066,18.32863558,18.31814455,18.30474803,18.35312723,18.32847456,18.19748138,17.95483746,17.58185402,17.12179976,16.58961072,16.00781233
China,CHN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.43842783,68.98011554,69.67006218,70.37744468,71.07631881,71.81590335,72.35395716,72.61736235,72.77791213,72.85616987,72.86447874,72.79881854,72.61343794,72.33833072,72.00516568,71.62843454,71.20445251,70.66591211,70.15531624,69.74115265,69.39992493,69.21240494,69.0962699,69.09431181,69.32691883
China,CHN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.017475741,7.213516823,7.401628758,7.579626632,7.737251101,7.889628405,8.053863468,8.212586258,8.355352904,8.498178887,8.661471438,8.859168729,9.089201868,9.356268616,9.666198738,10.05342091,10.49079946,10.98096066,11.5162092,12.06136597,12.64523761,13.20574103,13.78193035,14.31607747,14.66526884
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,969.1995137,1065.405976,1163.559577,1306.972454,1530.927262,1777.644968,2129.25697,2734.727099,3523.443021,3898.244592,4629.245517,5703.76028,6405.057424,7147.035186,7781.065975,8175.332851,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824,13303.14815
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.77591,2.63965,4.5957,6.2,7.3,8.52326,10.5232,16,22.6,28.9,34.3,38.3,42.3001,45.8,47.9,50.3,53.2,54.3,59.2,64.0809,70.0528,73.0532,75.6113,90.6,92
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.586432018,8.312638871,9.243393266,10.11819286,10.13140736,11.45823846,12.67467517,14.14998549,9.670245886,9.402699728,10.59627198,9.461335887,7.856174271,7.778724094,7.461900282,6.978780027,6.775555628,6.891266362,6.756718002,6.068502351,2.340188431,8.570085132,3.134188872,5.414843301,4.977356592
China,CHN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,45.07383152,44.2765436,43.87580281,44.98276213,45.23283266,46.3816217,46.88650286,46.18523623,46.23641913,45.17885872,45.70662071,45.80020541,44.68206982,43.39387078,42.28271578,40.04759022,38.81115609,39.12994435,38.97770017,37.76423332,36.91156241,38.0924722,37.89452666,36.77250302,36.47565945
China,CHN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,14.52725195,13.82210696,13.12949383,12.17576009,12.72884294,11.48281235,10.47586237,10.09341946,10.00997707,9.472995817,9.166499061,9.033845859,8.965056735,8.784421316,8.482429409,8.224013595,7.900650175,7.328392393,6.917142892,7.006215758,7.540181985,7.089352516,7.147886928,6.889519411,6.775998813
China,CHN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,40.39893948,41.90132965,42.99471503,42.84148136,42.03832477,42.135566,42.63765037,43.72132583,43.75359601,45.34815368,45.12687199,45.16594057,46.35287426,47.82170571,49.23486111,51.72839163,53.28819366,53.5416634,54.10516404,55.22955993,55.54825564,54.81817957,54.95758043,56.33797757,56.74834174
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.68159936,20.07768738,22.35182337,26.60237385,30.60971625,33.36879775,35.52684687,34.90669562,32.0925136,24.33077181,26.72274515,26.15188289,25.07670433,24.16334309,23.07197669,20.93906422,19.20365074,19.33563017,18.7705198,18.05570696,18.20358217,19.52624222,20.29773169,19.10247172,20.02291664
China,CHN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.099784372,2.212049155,0.642696006,2.642679798,6.990192211,3.7487177,4.019457597,7.913659445,7.856586465,-0.081966942,6.928457313,8.016062929,2.405184127,2.297993974,1.091091266,0.137261201,1.477441213,4.146022375,3.467897773,1.315506507,0.530000817,4.473861321,1.934274078,-0.505704539,-0.70720001
China,CHN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,42.80797577,44.36042023,49.92394638,56.54468155,64.28150177,73.00266266,82.48256683,98.5569458,133.8399963,164.8761902,188.8715668,239.1982422,284.6976013,329.0857239,362.2869568,393.0976868,398.1748962,439.9400635,504.1098023,538.9915772,582.9509277,670.2589722,755.4359741,763.3776245,..
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.288,72.675,73.034,73.385,73.727,74.085,74.404,74.789,74.833,75.317,75.668,75.889,76.2,76.452,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,..
China,CHN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,67.913,67.502,67.088,66.67,66.25,65.826,65.4,64.972,64.541,64.108,63.672,63.662,63.333,63.023,62.826,62.605,62.326,61.957,61.585,61.305,59.711,61.182,60.097,60.216,59.448
China,CHN,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,80.347,80.131,79.913,79.692,79.469,79.243,79.016,78.787,78.556,78.323,78.089,77.899,77.33,76.764,76.324,75.848,75.29,74.606,73.904,73.328,71.607,72.918,71.389,71.334,70.267
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.26,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.72,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55,4.98,4.67,4.59
China,CHN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,30,27.8,25.6,23.5,21.3,19.4,17.7,16.1,14.8,13.6,12.5,11.5,10.5,9.7,8.9,8.2,7.6,7,6.4,6,5.5,5.1,4.8,4.5,..
Japan,JPN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,23.83935344,24.20964329,24.16598708,25.32144904,23.61095161,21.93588592,24.06158835,25.62052592,26.45590157,27.38244583,28.37992262,36.87128506,39.15262304,40.00300689,42.17583449,40.08800169,41.04420244,39.35688712,38.05212517,37.06536716,38.76896146,34.23433722,33.83218087,32.96660443,..
Japan,JPN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,9.066875193,8.938205446,8.595124427,9.834664461,9.476315642,7.787355389,8.748173326,7.376950118,7.53477561,7.687651998,7.744753901,8.256731232,7.611632391,7.687939485,8.080449461,8.621539822,8.001610316,8.430630962,8.281069124,8.439948428,8.609599111,8.461796406,8.45128965,8.477252236,..
Japan,JPN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,30.15976625,30.45622735,27.62899802,22.66674977,25.94874782,27.48413652,27.26988401,23.10558092,23.2914474,25.65384291,24.61673798,9.161731421,1.45045441,0.842471733,0,0.891446946,1.686815861,3.045569252,6.086019187,6.141067971,3.810830346,6.745144887,5.509595855,8.383301019,..
Japan,JPN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,57.68029893,57.45271,60.62371086,64.116701,61.25492783,61.05158923,60.19504295,65.71593216,65.23386462,62.37147814,63.22828324,77.65112297,85.71276471,85.45264515,84.7847726,82.09010633,80.16041517,77.26201372,73.38026255,71.85322984,72.44157287,68.6455791,68.31987297,64.28287894,..
Japan,JPN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,21.37121773,23.23032654,24.54218353,26.25574075,26.34334165,27.04565869,26.15015305,26.75193151,27.02932918,27.06001783,27.09489525,27.25363234,30.11829134,32.04544384,32.67013955,33.36526181,32.24602722,32.28334871,31.1481879,31.45138072,30.5727899,30.60955419,30.28233854,28.30873846,..
Japan,JPN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,12.46972776,10.01274016,11.91554025,12.5395112,11.30063457,12.07004462,9.983301548,13.34347473,11.74863388,7.929014485,7.753465372,13.52620557,16.44185033,13.40419443,9.938798556,8.636842821,6.870185513,5.621777888,4.179949478,3.336481957,3.09982151,3.801687691,4.205353555,3.007536045,..
Japan,JPN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1.211264176,1.231739575,1.258263823,1.386468872,1.443138523,1.791428128,1.838896788,1.896039248,1.926644578,1.977943577,1.933946553,2.240352637,2.464472102,3.170907102,4.27991877,5.557255889,6.697758354,7.766752204,8.78057468,10.13885719,11.68277008,12.64187144,..,..,..
Japan,JPN,Rural population (% of total population),SP.RUR.TOTL.ZS,21.38731967,20.84225179,19.45301393,17.57932216,15.62894581,14.04263795,12.8539101,11.72985955,10.70784362,9.886884128,9.377141316,9.136834557,8.973472267,8.848340435,8.745105487,8.64673559,8.545874515,8.450158031,8.362268139,8.28357921,8.219007373,8.125895072,8.022346757,7.917309611,7.809828197
Japan,JPN,Rural population,SP.RUR.TOTL,27128318,26500715,24791894,22451959,19967697,17942700,16434238,15014338,13712786,12659859,12009305,11679890,11452753,11276767,11130420,10993546,10859755,10729335,10604276,10489745,10377401,10212754,10037960,9858369,9682263
Japan,JPN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.61268033,79.15774821,80.54698607,82.42067784,84.37105419,85.95736205,87.1460899,88.27014045,89.29215638,90.11311587,90.62285868,90.86316544,91.02652773,91.15165957,91.25489451,91.35326441,91.45412549,91.54984197,91.63773186,91.71642079,91.78099263,91.87410493,91.97765324,92.08269039,92.1901718
Japan,JPN,Urban population,SP.URB.TOTL,99714682,100648285,102653106,105266041,107793303,109830300,111419762,112986662,114350214,115387141,116060695,116153110,116176247,116168233,116145580,116147454,116216245,116242665,116206724,116143255,115883599,115468839,115087029,114658281,114293108
Japan,JPN,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49,..,..,..,50,..,..
Japan,JPN,"Mammal species, threatened",EN.MAM.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29,..,..,..,29,..,..
